Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2019-10-31T14:52:01Z,NKE,88.848044415,1,Market,Filled,88.848044415, 
2019-10-31T15:10:54Z,NKE,88.828201189,1,Market,Filled,88.828201189, 
2019-10-31T15:12:30Z,AAPL,246.125338508,-1,Market,Filled,-246.125338508, 
2019-10-31T15:15:49Z,NKE,88.738906672,1,Market,Filled,88.738906672, 
2019-10-31T17:06:00Z,NKE,88.471023121,1,Market,Filled,88.471023121, 
2019-10-31T17:37:00Z,NKE,88.788514737,-1,Market,Filled,-88.788514737, 
2019-10-31T19:19:00Z,NKE,88.490866347,1,Market,Filled,88.490866347, 
2019-11-01T13:31:00Z,NKE,89.562400551,-1,Market,Filled,-89.562400551, 
2019-11-01T13:33:00Z,NKE,89.760832811,-1,Market,Filled,-89.760832811, 
2019-11-01T13:42:00Z,NKE,89.512792486,1,Market,Filled,89.512792486, 
2019-11-01T13:48:00Z,NKE,89.334203452,1,Market,Filled,89.334203452, 
2019-11-01T14:00:00Z,AAPL,249.736076184,-1,Market,Filled,-249.736076184, 
2019-11-01T14:00:00Z,NKE,89.344125065,1,Market,Filled,89.344125065, 
2019-11-01T14:03:00Z,NKE,89.39373313,1,Market,Filled,89.39373313, 
2019-11-01T14:22:00Z,NKE,89.234987322,1,Market,Filled,89.234987322, 
2019-11-01T14:35:00Z,NKE,89.165536031,1,Market,Filled,89.165536031, 
2019-11-01T14:39:08Z,AAPL,251.124821444,-1,Market,Filled,-251.124821444, 
2019-11-01T15:52:00Z,AAPL,251.710078375,-248,Market,Filled,-62424.099437, 
2019-11-01T15:52:00Z,NKE,89.205222483,699,Market,Filled,62354.450515617, 
2019-11-01T20:29:59Z,NKE,89.423497969,-698,Market On Open,Filled,-62417.601582362, 
2019-11-01T20:29:59Z,AAPL,255.310896442,243,Market On Open,Filled,62040.547835406, 
2019-11-04T14:31:27Z,AAPL,255.548967058,1,Market,Filled,255.548967058, 
2019-11-04T14:35:00Z,AAPL,255.52912784,1,Market,Filled,255.52912784, 
2019-11-04T14:45:00Z,NKE,89.39373313,-1,Market,Filled,-89.39373313, 
2019-11-04T14:53:37Z,NKE,89.552478938,-1,Market,Filled,-89.552478938, 
2019-11-04T14:54:36Z,NKE,89.69138152,-1,Market,Filled,-89.69138152, 
2019-11-04T15:01:00Z,NKE,89.711224746,1,Market,Filled,89.711224746, 
2019-11-04T15:30:00Z,NKE,89.602087003,1,Market,Filled,89.602087003, 
2019-11-04T16:21:53Z,NKE,89.115927966,1,Market,Filled,89.115927966, 
2019-11-04T17:17:22Z,NKE,88.719063446,1,Market,Filled,88.719063446, 
2019-11-04T17:30:28Z,NKE,88.947260545,-1,Market,Filled,-88.947260545, 
2019-11-04T19:03:43Z,NKE,88.927417319,1,Market,Filled,88.927417319, 
2019-11-04T20:34:57Z,AAPL,255.33073566,-1,Market,Filled,-255.33073566, 
2019-11-04T20:34:57Z,NKE,88.828201189,1,Market,Filled,88.828201189, 
2019-11-05T14:31:00Z,NKE,89.383811517,-3,Market,Filled,-268.151434551, 
2019-11-05T14:31:00Z,AAPL,254.656202248,1,Market,Filled,254.656202248, 
2019-11-05T14:54:00Z,NKE,89.175457644,1,Market,Filled,89.175457644, 
2019-11-05T15:36:16Z,NKE,89.175457644,1,Market,Filled,89.175457644, 
2019-11-05T16:14:58Z,NKE,89.453262808,-1,Market,Filled,-89.453262808, 
2019-11-05T17:31:00Z,NKE,89.155614418,1,Market,Filled,89.155614418, 
2019-11-06T14:36:49Z,NKE,89.433419582,-2,Market,Filled,-178.866839164, 
2019-11-06T14:46:00Z,NKE,88.927417319,2,Market,Filled,177.854834638, 
2019-11-06T15:51:59Z,AAPL,254.398292414,-1,Market,Filled,-254.398292414, 
2019-11-06T15:51:59Z,NKE,88.40157183,1,Market,Filled,88.40157183, 
2019-11-06T16:02:56Z,NKE,88.609925703,-1,Market,Filled,-88.609925703, 
2019-11-06T16:38:00Z,NKE,88.421415056,1,Market,Filled,88.421415056, 
2019-11-06T16:44:00Z,NKE,88.332120539,1,Market,Filled,88.332120539, 
2019-11-06T17:14:37Z,NKE,88.391650217,-1,Market,Filled,-88.391650217, 
2019-11-06T17:58:00Z,NKE,88.580160864,-1,Market,Filled,-88.580160864, 
2019-11-06T21:17:12Z,NKE,89.969186684,1,Market On Open,Filled,89.969186684, 
2019-11-07T14:37:00Z,NKE,89.354046678,1,Market,Filled,89.354046678, 
2019-11-07T15:22:40Z,NKE,89.512792486,-1,Market,Filled,-89.512792486, 
2019-11-07T15:42:00Z,NKE,89.383811517,1,Market,Filled,89.383811517, 
2019-11-07T16:14:00Z,NKE,89.294517,1,Market,Filled,89.294517, 
2019-11-07T16:17:47Z,AAPL,258.355836097,-1,Market,Filled,-258.355836097, 
2019-11-07T17:15:00Z,NKE,89.69138152,-1,Market,Filled,-89.69138152, 
2019-11-07T20:45:00Z,NKE,89.502870873,-1,Market,Filled,-89.502870873, 
2019-11-08T14:31:00Z,NKE,89.542557325,1,Market,Filled,89.542557325, 
2019-11-08T15:06:00Z,NKE,89.205222483,-1,Market,Filled,-89.205222483, 
2019-11-08T15:06:00Z,AAPL,256.117223122,1,Market,Filled,256.117223122, 
2019-11-08T15:30:00Z,NKE,89.155614418,1,Market,Filled,89.155614418, 
2019-11-08T17:56:00Z,NKE,89.135771192,1,Market,Filled,89.135771192, 
2019-11-08T18:15:36Z,AAPL,258.266291578,-1,Market,Filled,-258.266291578, 
2019-11-08T18:15:36Z,NKE,89.066319901,1,Market,Filled,89.066319901, 
2019-11-08T19:47:32Z,NKE,88.669455381,1,Market,Filled,88.669455381, 
2019-11-11T14:31:00Z,NKE,88.679376994,-1,Market,Filled,-88.679376994, 
2019-11-11T15:27:59Z,NKE,88.937338932,1,Market,Filled,88.937338932, 
2019-11-11T15:32:00Z,NKE,88.728985059,1,Market,Filled,88.728985059, 
2019-11-11T17:18:00Z,AAPL,259.838295356,-1,Market,Filled,-259.838295356, 
2019-11-11T18:18:00Z,NKE,89.09608474,1,Market,Filled,89.09608474, 
2019-11-11T19:29:00Z,NKE,89.294517,-1,Market,Filled,-89.294517, 
2019-11-12T14:34:00Z,NKE,89.840205715,-2,Market,Filled,-179.68041143, 
2019-11-12T14:34:00Z,AAPL,260.007435003,1,Market,Filled,260.007435003, 
2019-11-12T14:42:46Z,NKE,90.217227009,-1,Market,Filled,-90.217227009, 
2019-11-12T16:25:44Z,NKE,89.701303133,2,Market,Filled,179.402606266, 
2019-11-12T16:47:03Z,NKE,89.324281839,1,Market,Filled,89.324281839, 
2019-11-12T18:25:46Z,AAPL,260.97252593,-1,Market,Filled,-260.97252593, 
2019-11-12T18:48:40Z,NKE,89.413576356,1,Market,Filled,89.413576356, 
2019-11-12T20:59:29Z,NKE,88.857966028,1,Market,Filled,88.857966028, 
2019-11-13T14:34:21Z,NKE,89.155614418,-1,Market,Filled,-89.155614418, 
2019-11-13T14:43:00Z,NKE,89.939421845,-2,Market,Filled,-179.87884369, 
2019-11-13T15:43:31Z,NKE,89.69138152,2,Market,Filled,179.38276304, 
2019-11-13T17:47:00Z,NKE,90.137854105,-1,Market,Filled,-90.137854105, 
2019-11-13T17:58:10Z,NKE,90.366051204,-1,Market,Filled,-90.366051204, 
2019-11-13T18:59:00Z,NKE,90.524797012,-1,Market,Filled,-90.524797012, 
2019-11-13T19:15:00Z,AAPL,261.450096698,1,Market,Filled,261.450096698, 
2019-11-13T20:42:00Z,NKE,90.435502495,1,Market,Filled,90.435502495, 
2019-11-14T14:31:00Z,NKE,90.58432669,-1,Market,Filled,-90.58432669, 
2019-11-14T14:32:00Z,NKE,90.375972817,1,Market,Filled,90.375972817, 
